1 ; 5
86 ; 6
196 ; 7
887 ; 1
948 ; 3
2668 ; 6
2859 ; 2
2994 ; 8
3564 ; 10
4247 ; 13
5622 ; 4
6704 ; 13
7059 ; 9
7304 ; 1
7824 ; 14
8448 ; 11
8824 ; 3
9360 ; 2
9699 ; 1
2 ; 9
1823 ; 4
2271 ; 6
2710 ; 6
3097 ; 5
3259 ; 11
3456 ; 5
3872 ; 2
3886 ; 2
4272 ; 8
4297 ; 6
4505 ; 11
4747 ; 10
5712 ; 4
6250 ; 3
6904 ; 7
6908 ; 6
7336 ; 7
8246 ; 5
8527 ; 14
8637 ; 1
9971 ; 4
3 ; 3
200 ; 2
709 ; 7
795 ; 1
843 ; 2
1344 ; 2
1623 ; 15
2865 ; 7
2971 ; 5
3122 ; 7
3462 ; 11
3521 ; 12
3534 ; 11
3563 ; 10
3746 ; 4
3810 ; 6
3901 ; 6
4431 ; 2
4792 ; 11
5381 ; 11
5484 ; 4
5625 ; 13
6156 ; 11
6163 ; 6
6756 ; 4
7272 ; 9
7515 ; 1
8854 ; 5
8940 ; 11
4 ; 3
209 ; 1
613 ; 11
1198 ; 6
1383 ; 11
2294 ; 12
4838 ; 9
5478 ; 8
5504 ; 5
5729 ; 10
7156 ; 4
7247 ; 5
7473 ; 8
8514 ; 7
8661 ; 10
9296 ; 2
9441 ; 5
9885 ; 6
9888 ; 2
9934 ; 14
5 ; 5
1380 ; 2
1805 ; 3
2221 ; 8
2223 ; 3
2680 ; 11
2870 ; 4
3007 ; 11
3459 ; 7
4190 ; 1
6011 ; 12
6169 ; 6
6569 ; 2
7657 ; 2
8175 ; 10
8706 ; 10
8916 ; 1
9857 ; 13
6 ; 13
393 ; 6
810 ; 16
929 ; 9
1028 ; 6
1253 ; 3
1708 ; 1
2202 ; 2
2557 ; 4
3331 ; 8
3478 ; 9
4128 ; 4
4224 ; 6
4323 ; 2
4618 ; 11
4679 ; 2
4998 ; 6
5441 ; 7
6074 ; 5
8857 ; 8
9008 ; 10
7 ; 11
170 ; 6
547 ; 2
1112 ; 2
1595 ; 7
2391 ; 8
3233 ; 6
3923 ; 7
4316 ; 3
4436 ; 1
4835 ; 6
6336 ; 9
6664 ; 4
7722 ; 12
7913 ; 8
8001 ; 3
8851 ; 9
9548 ; 9
9720 ; 5
8 ; 9
13 ; 4
661 ; 3
748 ; 10
1107 ; 1
1475 ; 7
1529 ; 10
2096 ; 11
2396 ; 5
3683 ; 2
3804 ; 1
4430 ; 10
4870 ; 6
5393 ; 1
5737 ; 4
6068 ; 4
8366 ; 6
8414 ; 1
9103 ; 5
9294 ; 14
9703 ; 4
9 ; 6
279 ; 9
447 ; 12
448 ; 4
984 ; 1
2017 ; 15
2037 ; 10
2329 ; 9
2361 ; 4
3389 ; 4
3557 ; 7
4326 ; 5
4862 ; 5
4988 ; 1
6452 ; 3
6903 ; 9
7420 ; 3
7696 ; 9
7889 ; 4
8166 ; 3
8200 ; 5
8480 ; 1
8932 ; 10
9042 ; 5
9723 ; 1
10 ; 5
231 ; 9
276 ; 3
594 ; 15
634 ; 1
1145 ; 9
1640 ; 4
1845 ; 6
2390 ; 10
2422 ; 11
3692 ; 4
4649 ; 11
5263 ; 7
5475 ; 9
5587 ; 3
5665 ; 2
6189 ; 11
6351 ; 7
6396 ; 2
7167 ; 1
8385 ; 8
8743 ; 4
